Time,Occupant Number,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,INDOOR Mean Radiant Temp.,Predicted Mean Vote (PMV)
735080.0,1.0,24.584695,63.517,0.030988,24.584695,-0.270899
735080.010417,1.0,24.584695,63.704,0.030988,24.584695,-0.269505
735080.020833,1.0,24.584695,63.856,0.030988,24.584695,-0.268373
735080.03125,1.0,24.584695,64.039,0.030988,24.584695,-0.267009
735080.041667,1.0,24.498384,64.282,0.030988,24.498384,-0.297025
735080.052083,1.0,24.671003,64.585,0.030988,24.671003,-0.231101
735080.0625,1.0,24.584695,64.893,0.030988,24.584695,-0.260645
735080.072917,1.0,24.671003,64.953,0.030988,24.671003,-0.228345
735080.083333,1.0,24.671003,65.105,0.030988,24.671003,-0.227206
735080.09375,1.0,24.671003,65.226,0.030988,24.671003,-0.2263
735080.104167,1.0,24.757317,65.438,0.030988,24.757317,-0.192837
735080.114583,1.0,24.584695,65.438,0.030988,24.584695,-0.256583
735080.125,1.0,24.757317,65.529,0.030988,24.757317,-0.192152
735080.135417,1.0,24.757317,65.589,0.030988,24.757317,-0.1917
735080.145833,1.0,24.757317,65.771,0.030988,24.757317,-0.19033
735080.15625,1.0,24.757317,65.952,0.030988,24.757317,-0.188967
735080.166667,1.0,24.757317,66.314,0.030988,24.757317,-0.186241
735080.177083,1.0,24.757317,66.555,0.030988,24.757317,-0.184427
735080.1875,1.0,24.671003,66.796,0.030988,24.671003,-0.214539
735080.197917,1.0,24.757317,66.826,0.030988,24.757317,-0.182386
735080.208333,1.0,24.757317,66.826,0.030988,24.757317,-0.182386
735080.21875,1.0,24.671003,67.248,0.030988,24.671003,-0.211153
735080.229167,1.0,24.498384,67.115,0.030988,24.498384,-0.276022
735080.239583,1.0,24.498384,66.216,0.030988,24.498384,-0.282687
735080.25,1.0,24.15314,64.732,0.030988,24.15314,-0.4202
735080.260417,1.0,24.066829,63.581,0.030988,24.066829,-0.460302
735080.270833,1.0,24.066829,62.762,0.030988,24.066829,-0.466219
735080.28125,1.0,23.894207,61.8,0.030988,23.894207,-0.536519
735080.291667,1.0,23.721585,60.897,0.030988,23.721585,-0.606256
735080.302083,1.0,23.721585,60.084,0.030988,23.721585,-0.612009
735080.3125,1.0,23.462655,59.3,0.030988,23.462655,-0.712296
735080.322917,1.0,23.376341,58.638,0.030988,23.376341,-0.748463
735080.333333,1.0,23.376341,58.257,0.030988,23.376341,-0.751103
735080.34375,1.0,23.376341,57.693,0.030988,23.376341,-0.755012
735080.354167,1.0,23.376341,57.287,0.030988,23.376341,-0.757826
735080.364583,1.0,23.376341,56.815,0.030988,23.376341,-0.761097
735080.375,1.0,23.29003,57.097,0.030988,23.29003,-0.790641
735080.385417,1.0,23.376341,56.95,0.030988,23.376341,-0.760161
735080.395833,1.0,23.376341,56.864,0.030988,23.376341,-0.760757
735080.40625,1.0,23.462655,56.747,0.030988,23.462655,-0.730081
735080.416667,1.0,23.721585,56.416,0.030988,23.721585,-0.637964
735080.427083,1.0,23.635274,55.832,0.030988,23.635274,-0.67355
735080.4375,1.0,23.635274,55.458,0.030988,23.635274,-0.676183
735080.447917,1.0,23.548963,55.184,0.030988,23.548963,-0.709541
735080.458333,1.0,23.721585,54.906,0.030988,23.721585,-0.648649
735080.46875,1.0,23.721585,54.754,0.030988,23.721585,-0.649725
735080.479167,1.0,23.721585,54.569,0.030988,23.721585,-0.651034
735080.489583,1.0,23.721585,54.288,0.030988,23.721585,-0.653022
735080.5,1.0,23.721585,54.075,0.030988,23.721585,-0.654529
735080.510417,1.0,23.721585,53.957,0.030988,23.721585,-0.655364
735080.520833,1.0,23.721585,53.555,0.030988,23.721585,-0.658209
735080.53125,1.0,23.721585,53.342,0.030988,23.721585,-0.659716
735080.541667,1.0,23.721585,52.965,0.030988,23.721585,-0.662384
735080.552083,1.0,23.807896,52.653,0.030988,23.807896,-0.633255
735080.5625,1.0,23.894207,52.657,0.030988,23.894207,-0.601891
735080.572917,1.0,23.894207,52.765,0.030988,23.894207,-0.601119
735080.583333,1.0,24.066829,52.712,0.030988,24.066829,-0.538825
735080.59375,1.0,24.066829,52.595,0.030988,24.066829,-0.53967
735080.604167,1.0,24.066829,52.448,0.030988,24.066829,-0.540732
735080.614583,1.0,24.066829,52.047,0.030988,24.066829,-0.543629
735080.625,1.0,24.066829,51.864,0.030988,24.066829,-0.544951
735080.635417,1.0,24.066829,51.712,0.030988,24.066829,-0.54605
735080.645833,1.0,24.066829,51.497,0.030988,24.066829,-0.547603
735080.65625,1.0,24.066829,51.437,0.030988,24.066829,-0.548036
735080.666667,1.0,24.066829,51.346,0.030988,24.066829,-0.548694
735080.677083,1.0,24.066829,51.285,0.030988,24.066829,-0.549134
735080.6875,1.0,24.066829,51.285,0.030988,24.066829,-0.549134
735080.697917,1.0,23.980518,51.289,0.030988,23.980518,-0.580388
735080.708333,1.0,24.066829,51.352,0.030988,24.066829,-0.54865
735080.71875,1.0,24.066829,51.447,0.030988,24.066829,-0.547964
735080.729167,1.0,24.066829,51.726,0.030988,24.066829,-0.545948
735080.739583,1.0,24.066829,52.032,0.030988,24.066829,-0.543738
735080.75,1.0,24.066829,52.341,0.030988,24.066829,-0.541505
735080.760417,1.0,24.066829,52.363,0.030988,24.066829,-0.541346
735080.770833,1.0,23.894207,52.223,0.030988,23.894207,-0.604994
735080.78125,1.0,23.721585,52.277,0.030988,23.721585,-0.667252
735080.791667,1.0,23.721585,52.042,0.030988,23.721585,-0.668915
735080.802083,1.0,23.635274,51.903,0.030988,23.635274,-0.701208
735080.8125,1.0,23.548963,51.83,0.030988,23.548963,-0.733029
735080.822917,1.0,23.376341,51.627,0.030988,23.376341,-0.797051
735080.833333,1.0,23.29003,51.523,0.030988,23.29003,-0.82907
735080.84375,1.0,23.29003,51.471,0.030988,23.29003,-0.829428
735080.854167,1.0,23.29003,51.455,0.030988,23.29003,-0.829538
735080.864583,1.0,23.203719,51.47,0.030988,23.203719,-0.860731
735080.875,1.0,23.117408,51.555,0.030988,23.117408,-0.891447
735080.885417,1.0,23.29003,51.839,0.030988,23.29003,-0.826891
735080.895833,1.0,23.376341,52.262,0.030988,23.376341,-0.792651
735080.90625,1.0,23.548963,53.285,0.030988,23.548963,-0.72284
735080.916667,1.0,23.721585,54.587,0.030988,23.721585,-0.650906
735080.927083,1.0,23.721585,55.787,0.030988,23.721585,-0.642415
735080.9375,1.0,23.807896,56.611,0.030988,23.807896,-0.605102
735080.947917,1.0,23.980518,57.301,0.030988,23.980518,-0.537179
735080.958333,1.0,23.980518,57.467,0.030988,23.980518,-0.535986
735080.96875,1.0,24.066829,57.877,0.030988,24.066829,-0.50151
735080.979167,1.0,24.066829,58.442,0.030988,24.066829,-0.497429
735080.989583,1.0,24.066829,58.943,0.030988,24.066829,-0.493809
735081.0,1.0,24.066829,59.599,0.030988,24.066829,-0.48907
735081.010417,1.0,24.066829,60.156,0.030988,24.066829,-0.485046
735081.020833,1.0,24.066829,60.502,0.030988,24.066829,-0.482546
735081.03125,1.0,24.066829,60.874,0.030988,24.066829,-0.479858
